	Iteration	alpha	x1	x2	x3	f(x)	Second order
0	1	0.037516052100532014	0.0996	0.1746	0.0996	143.2365	43608
1	2	0.445530374587684	-4.4534	-7.1125	-6.2301	5087.4350	1287.90946389077
2	3	0.001178622065860111	-1.7627	-6.4496	-5.0669	594.2034	5516650807.68812
3	4	0.0023306437107780092	-0.2505	-6.2700	-4.7823	41.1396	189587186.976034
4	5	0.0029402415200683063	-0.0278	-6.2756	-4.7883	32.7197	1952129.57679636
5	6	0.21676114826129586	-0.1252	-7.0189	-5.7407	29.9245	144.245373476558
6	7	0.002172540767490852	-0.0211	-7.0222	-5.7446	27.4242	1060735.84977134
7	8	0.20024013420637854	-0.0692	-7.4113	-6.2433	26.5033	50.1161035136894
8	9	0.0018846689576417536	-0.0185	-7.4133	-6.2457	25.8196	385232.835751911
9	10	0.18784821879058292	-0.0452	-7.6318	-6.5259	25.4970	19.1570066855414
10	11	0.0017471201375764665	-0.0172	-7.6330	-6.5273	25.2713	147948.172523890
11	12	0.18048486071113604	-0.0332	-7.7638	-6.6952	25.1485	7.74635348612877
12	13	0.0016717390347915882	-0.0165	-7.7646	-6.6961	25.0647	59981.0319777242
13	14	0.1760319874156012	-0.0265	-7.8460	-6.8005	25.0155	3.23180531614535
14	15	0.0016272419522491105	-0.0161	-7.8464	-6.8011	24.9823	25076.0933240587
15	16	0.1732614671067179	-0.0225	-7.8982	-6.8676	24.9619	1.37334953671611
16	17	0.001599823441610794	-0.0159	-7.8985	-6.8680	24.9482	10672.4956139331
17	18	0.17150117627874953	-0.0200	-7.9320	-6.9109	24.9396	0.590227789287354
18	19	0.0015824832010172209	-0.0157	-7.9322	-6.9111	24.9339	4591.77428649228
19	20	0.17036685978098032	-0.0184	-7.9539	-6.9391	24.9302	0.255475927855710
20	21	0.0015713369146771001	-0.0156	-7.9541	-6.9392	24.9277	1989.02160589501
21	22	0.16962907099549238	-0.0173	-7.9683	-6.9576	24.9261	0.111087176160230
22	23	0.0015640973797214756	-0.0155	-7.9684	-6.9577	24.9251	865.319981211772
23	24	0.16914623950191277	-0.0167	-7.9778	-6.9697	24.9244	0.0484467475229225
24	25	0.001559363663389048	-0.0155	-7.9779	-6.9698	24.9239	377.509348108614
25	26	0.16882897946467426	-0.0162	-7.9840	-6.9777	24.9236	0.0211692764623791
26	27	0.0015562548783864866	-0.0155	-7.9841	-6.9778	24.9234	164.994572050721
27	28	0.16861995674279304	-0.0160	-7.9882	-6.9830	24.9233	0.00926188151836604
28	29	0.001554207387195195	-0.0154	-7.9882	-6.9831	24.9232	72.1987882134966
29	30	0.16848200208816042	-0.0158	-7.9909	-6.9865	24.9231	0.00405560583954801
30	31	0.0015528563393323114	-0.0154	-7.9909	-6.9865	24.9231	31.6177547064263
31	32	0.16839084628099607	-0.0157	-7.9927	-6.9888	24.9231	0.00177685480668614
32	33	0.001551963736617734	-0.0154	-7.9927	-6.9888	24.9231	13.8534152455464
33	34	0.16833056730186366	-0.0156	-7.9939	-6.9904	24.9230	0.000778765092725125
34	35	0.001551373533659529	-0.0154	-7.9939	-6.9904	24.9230	6.07198999536167
35	36	0.16829068617783458	-0.0155	-7.9947	-6.9914	24.9230	0.000341401715052414
36	37	0.0015509830708739496	-0.0154	-7.9947	-6.9914	24.9230	2.66197093846245
37	38	0.16826429168462018	-0.0155	-7.9952	-6.9920	24.9230	0.000149690479279960
38	39	0.0015507246584533238	-0.0154	-7.9952	-6.9920	24.9230	1.16718698942562
39	40	0.16824681926096124	-0.0155	-7.9955	-6.9925	24.9230	6.56399887917465e-5
40	41	0.001550553597859901	-0.0154	-7.9955	-6.9925	24.9230	0.511823817223594
41	42	0.168235251414974	-0.0154	-7.9958	-6.9928	24.9230	2.87854594283627e-5
42	43	0.0015504403435814848	-0.0154	-7.9958	-6.9928	24.9230	0.224454833393194
43	44	0.16822759214685656	-0.0154	-7.9959	-6.9930	24.9230	1.26240274269339e-5
44	45	0.0015503653534221196	-0.0154	-7.9959	-6.9930	24.9230	0.0984365194921377
45	46	0.16822252060660212	-0.0154	-7.9960	-6.9931	24.9230	5.53650893411947e-6
46	47	0.0015503156960555192	-0.0154	-7.9960	-6.9931	24.9230	0.0431713869241133
47	48	0.16821916249815844	-0.0154	-7.9961	-6.9932	24.9230	2.42819130805915e-6
48	49	0.0015502828122008828	-0.0154	-7.9961	-6.9932	24.9230	0.0189340713933867
49	50	0.16821693898806186	-0.0154	-7.9961	-6.9932	24.9230	1.06496574914525e-6
50	51	0.0015502610353728353	-0.0154	-7.9961	-6.9932	24.9230	0.00830419412079091
51	52	0.16821546683609456	-0.0154	-7.9961	-6.9933	24.9230	4.67081059117273e-7
52	53	0.0015502466137249887	-0.0154	-7.9961	-6.9933	24.9230	0.00364212296605273
53	54	0.16821449223444696	-0.0154	-7.9962	-6.9933	24.9230	2.04857299584690e-7
54	55	0.0015502370629116235	-0.0154	-7.9962	-6.9933	24.9230	0.00159740163352533
55	56	0.16821384717465845	-0.0154	-7.9962	-6.9933	24.9230	8.98488118484210e-8
56	57	0.0015502307377864542	-0.0154	-7.9962	-6.9933	24.9230	0.000700608244385900
57	58	0.16821342041443085	-0.0154	-7.9962	-6.9933	24.9230	3.94070902602977e-8
58	59	0.0015502265488874128	-0.0154	-7.9962	-6.9933	24.9230	0.000307282216590546
59	60	0.1682131380642008	-0.0154	-7.9962	-6.9933	24.9230	1.72837173584467e-8
